"lang" 
{ 
	"Language" "czech" 
	"Tokens" 
	{
		"Citadel_Dashboard_BuildVersion"	"Build {d:buildNumber} – {s:buildTime}"

		"OK"							"OK"
		"Cancel"						"Zrušit"
		"Close"							"Zavřít"
		"DontShowAgain"					"Znovu nezobrazovat"

		"Citadel_GameName"										"Deadlock"
		"Citadel_PlaytestWarningTitle"							"Raný vývojový build"
		"Citadel_PlaytestWarningBody"							"Vítej ve hře Deadlock. Tato hra se nachází v rané fázi vývoje, takže řada prvků je pouze dočasných a hratelnost není finalizovaná. Neváhej se s námi podělit o své nápady a návrhy!"

		// Client only rich presence
		"Citadel_RP_PendingReceived"							"Nevyřízená žádost o přátelství"
		"Citadel_RP_PendingSent"								"Žádost o přátelství byla odeslána"
		"Citadel_RP_NotFriends"									"Nejste přátelé"
		"Citadel_RP_Online"										"Online"
		"Citadel_RP_Busy"										"Zaneprázdněn"
		"Citadel_RP_Away"										"Nepřítomen"
		"Citadel_RP_Snooze"										"Neaktivní"
		"Citadel_RP_LookingToTrade"								"Chce obchodovat"
		"Citadel_RP_LookingToPlay"								"Chce hrát"
		"Citadel_RP_PlayingOtherGame"							"Hraje jinou hru"
		"Citadel_AlertPlayer_MatchReadyTitle"					"Zápas je připraven"
		"Citadel_AlertPlayer_MatchReadyText"					"Tvůj zápas začíná."

		// disconnection
		"GameUI_Disconnected"						"Byl jsi odpojen od serveru"
		"GameUI_Disconnect_ServerInfoOverflow"		"Došlo k přetečení informačních dat"
		"GameUI_Disconnect_TickMessage"				"Chyba při zapisování zprávy o tiku"
		"GameUI_Disconnect_StringTableMessage"		"Chyba při zapisování aktualizace do tabulky řetězců"
		"GameUI_Disconnect_DeltaEntMessage"			"Chyba při zapisování zprávy o delta entitách"
		"GameUI_Disconnect_TempEntMessage"			"Chyba při zapisování zprávy o dočasných entitách"
		"GameUI_Disconnect_SoundsMessage"			"Chyba při zapisování zprávy o herních zvucích"
		"GameUI_Disconnect_SnapshotOverflow"		"Došlo k přetečení snímku"
		"GameUI_Disconnect_SnapshotError"			"Chyba při odesílání snímku"
		"GameUI_Disconnect_ReliableOverflow"		"Došlo k přetečení vyrovnávací paměti"
		"GameUI_Disconnect_BadClientDeltaTick"		"Informace o zápasu nebyly klientu zasílány ve správném pořadí"
		"GameUI_Disconnect_NoMoreSplits"			"Nedostatek volných míst pro hraní v režimu rozdělené obrazovky"
		"GameUI_Disconnect_TimedOut"				"Komunikace se vzdáleným hostitelem byla přerušena"
		"GameUI_Disconnect_Disconnected"			"Byl jsi odpojen"
		"GameUI_Disconnect_ReliableChannelOverflow"	"Došlo k přetečení spolehlivého kanálu"
		"GameUI_Disconnect_LeavingSplit"			"Opouštění režimu rozdělené obrazovky"
		"GameUI_Disconnect_DifferentClassTables"	"Server používá rozdílné tabulky tříd"
		"GameUI_Disconnect_ConnectionClosing"		"Ukončování spojení"
		"GameUI_Disconnect_User"					"Uživatel se odpojil"
		"GameUI_Disconnect_Server"					"Byl jsi odpojen od serveru"
		"GameUI_Disconnect_ConnectionLost"			"Bylo ztraceno spojení"
		"GameUI_Disconnect_ConnectionOverflow"		"Chyba přetečení"
		"GameUI_Disconnect_BadRelayPassword"		"Nesprávné heslo převaděče"
		"GameUI_Disconnect_BadSpectatorPassword"	"Nesprávné heslo diváka"
		"GameUI_Disconnect_HLTVRestricted"			"Server SourceTV je omezený na lokální diváky (třída C)"
		"GameUI_Disconnect_HLTVUnavailable"			"Není k dispozici žádný převaděč SourceTV"
		"GameUI_Disconnect_HLTVStop"				"Došlo k zastavení SourceTV"
		"GameUI_Disconnect_Kicked"					"Byl jsi vyhozen správcem serveru"
		"GameUI_Disconnect_BanAdded"				"Byl jsi přidán na seznam zabanovaných"
		"GameUI_Disconnect_KickBanAdded"			"Byl jsi vyhozen a zabanován"
		"GameUI_Disconnect_SteamIDBanned"			"STEAM ID uživatele je zabanováno"
		"GameUI_Disconnect_SteamIDInUse"			"STEAM ID uživatele je na tomto serveru již používáno"
		"GameUI_Disconnect_SteamLogon"				"Nejsi přihlášen do služby Steam"
		"GameUI_Disconnect_SteamInUse"				"Tento účet služby Steam je používán na jiném místě"
		"GameUI_Disconnect_SteamOwnership"			"Tento účet služby Steam nevlastní tuto hru.\nPřihlas se ke správnému účtu."
		"GameUI_Disconnect_SteamVAC"				"Byl jsi zabanován na serveru zabezpečeném ochranou VAC"
		"GameUI_Disconnect_SteamTimeOut"			"Vypršelo spojení ochrany Valve Anti-Cheat. Ujisti se, že nepoužíváš žádné programy, které by mohly zasahovat do fungování ochrany, a že tvůj klient služby Steam je správně nainstalován."
		"GameUI_Disconnect_SteamDropped"			"Ověření připojení ke službě Steam se nezdařilo. Pro prvotní připojení k hernímu serveru musíš být připojen ke službě Steam."
		"GameUI_Disconnect_SteamTicket"				"Tiket STEAM ID uživatele je neplatný"
		"GameUI_Disconnect_NoSpectators"			"Zápas nepovoluje diváky"
		"GameUI_Disconnect_DisconnectByUser"		"Uživatel se odpojil"
		"GameUI_Disconnect_DisconnectByServer"		"Uživatel byl odpojen serverem"
		"GameUI_Disconnect_HLTVDirect"				"SourceTV se nemůže přímo připojit přímo ke hře"
		"GameUI_Disconnect_PureServer_ClientExtra"	"Pure server: klient nahrál soubory navíc"
		"GameUI_Disconnect_PureServer_Mismatch"		"Pure server: soubor klienta se neshoduje se souborem na serveru"
		"GameUI_Disconnect_UserCmd"					"Chyba při zpracovávání příkazů"
		"GameUI_Disconnect_RejectedByGame"			"Spojení bylo zamítnuto hrou"
