"lang"
{
	"Language"		"schinese"
	"Tokens"
	{
		//-----------------------------------------------------------------------------
		// Hero Bull // Abrams
		//-----------------------------------------------------------------------------
		"citadel_ability_bull_charge"			"冲锋陷阵"
		"citadel_ability_bull_charge_quip"		"冲入战斗，拖拽敌人"
		"citadel_ability_bull_charge_desc"		"<span class=\"highlight\">向前冲锋</span>，撞击敌人并拖拽他们。撞到<span class=\"highlight\">墙壁</span>会使被{s:hero_name}拖拽的敌人<span class=\"highlight\">眩晕</span>。撞击敌方英雄后速度会增加。"
		//"modifier_citadel_bull_charging"		"Charging"
		"citadel_ability_bull_charge_t3_desc"		"在与敌人碰撞后 <span class=\"highlight\">+{s:WeaponDamageBonus}</span> 武器伤害，持续 <span class=\"highlight\">{s:WeaponPowerIncreaseDuration}s</span>"
		"modifier_shoulder_charge_buff"			"额外伤害"
		"modifier_charge_drag_enemy"			"冲锋陷阵"

		"citadel_ability_bull_heal"				"移花接命"
		"citadel_ability_bull_heal_quip"		"吸取你面前敌人的生命值"
		"citadel_ability_bull_heal_desc"		"当敌人处于你前方范围之内时，吸取他们的生命值。"

		"HealingFactor_label"					"来自英雄的治疗"
		"HealingFactor_postfix"					"%"
		"NonHeroHealingFactor_label"			"来自非英雄的治疗"
		"NonHeroHealingFactor_postfix"			"%"

		"citadel_ability_bull_heal/modifier_bull_heal_aura"				"移花接命"

		"citadel_ability_passive_beefy"			"顽胄韧甲"
		"citadel_ability_passive_beefy_quip"	"恢复部分受到的伤害"
		"citadel_ability_passive_beefy_desc"	"随着时间的推移，<span class=\"highlight\">恢复</span>部分受到的伤害。"
		"RegenIncomingDamagePercent_label"		"恢复的伤害"
		"RegenIncomingDamagePercent_postfix"		"%"
		"RegenIncomingDamageDuration_label"		"恢复时间"
		"RegenIncomingDamageDuration_postfix"		"s"

		"citadel_ability_bull_leap"				"撼天动地"
		"citadel_ability_bull_leap_quip"		"从上方猛击敌人，使其眩晕"
		"citadel_ability_bull_leap_desc"		"<span class=\"highlight\">跳跃至高空</span>，并选择一个地面位置进行撞击。当你撞击地面时，<span class=\"highlight\">半径内的所有敌人将受到伤害并被眩晕</span>。<br>按 [{s:iv_attack}] 以提前坠落。"
		//"modifier_citadel_bull_leap"			"Boosting"
		"citadel_ability_bull_leap_t2_desc"		"每击中一个英雄，就获得 {s:BonusMaxHealthPerHero} 最大生命值和 {s:BonusFireRatePerHero}% 的射速加成，持续 {s:LandingBonusesDuration}s。"
		"citadel_ability_bull_leap_t3_desc"		"施放时，变得对<span class=\"highlight\">眩晕、沉默、睡眠、缠绕和缴械</span> <span class=\"highlight\">免疫</span>。在着陆后 {s:ImmunityDuration}s 后失效。"
		"AbilityButtonHint_BullLeapCrash"			"向下撞击"
		//"modifier_abrams_immunity"				"Immunity"

		//-----------------------------------------------------------------------------
		// Hero Seven 
		//-----------------------------------------------------------------------------
		"citadel_ability_static_charge_desc"		"对目标敌方英雄施加电能。短暂时间后，静态电能会<span class=\"highlight\">眩晕并伤害</span>半径内的敌人。"


		//"citadel_ability_chain_lightning"		"Chain Lightning"
		//"citadel_ability_chain_lightning_t1"	"Chain Radius"
		//"citadel_ability_chain_lightning_t2"	"Chain Damage"
		//"citadel_ability_chain_lightning_t3"	"360 Cone"
		//"citadel_ability_chain_lightning_t3_desc"	"Chain lightning can hit any enemies around the target."

		"citadel_ability_static_charge"			"静电负荷"
		"citadel_ability_static_charge_quip"	"对敌方英雄施加延迟区域眩晕"
		"citadel_ability_static_charge/modifier_citadel_staticcharge"	"静电负荷"

		"citadel_ability_lightning_ball"		"球状闪电"
		"citadel_ability_lightning_ball_quip"	"发射一个具有伤害性的球状闪电"
		"citadel_ability_lightning_ball_desc"	"发射沿直线移动的球状闪电。<span class=\"highlight\">对其半径内的所有目标造成伤害</span>。在伤害敌人时会减速，并在撞击到环境时停止。"
		"citadel_ability_lightning_ball_t3_desc" "+{s:DPS} DPS"
		"citadel_ability_lightning_ball/modifier_citadel_lightningball"	"球状闪电减速"

		"ability_power_surge"					"澎湃电力"
		"ability_power_surge_quip"			"你的射击会创造出电弧"
		"ability_power_surge_desc"			"为你的武器加上电击效果，使<span class=\"highlight\">你的子弹对目标造成电击伤害</span>。此电击伤害会<span class=\"highlight\">弹射到目标附近的敌人身上</span>。每次爆发性射击时发生一次。"
		"ability_power_surge_t1_desc"			"电击伤害施加 {s:TechResistDebuff}% 元灵抗性，持续 {s:DebuffDuration}s"
		"ability_power_surge_t3_desc"			"+{s:DamagePerChain} 电击伤害，随元灵力量增强的幅度加大，并 +{s:ChainCount} 最大跳跃次数"
		"modifier_power_surge"				"连锁闪电"
		"modifier_power_surge_debuff"			"元灵抗性降低"

		//"ChainLightningRadius_label"			"Chain Lightning Range"
		"ChainLightningRadius_postfix"		"m"
		//"WeaponDamageDebuff_label"			"Weapon Damage Debuff"
		"WeaponDamageDebuff_postfix"			"%"

		//"VoltageDrainDuration_label"			"Draining Time"
		"VoltageDrainDuration_postfix"		"s"
		//"DrainTimeNeeded_label"				"Drain Time for Proc"
		"DrainTimeNeeded_postfix"				"s"

		"citadel_ability_storm_cloud"			"雷霆风暴"
		"citadel_ability_storm_cloud_quip"		"电击大片区域内的所有敌人"
		"citadel_ability_storm_cloud_desc"		"在你周围形成一个不断扩展的雷霆风暴，对其半径内的<span class=\"highlight\">所有敌人造成伤害</span>。敌人在视线范围外时不会受到伤害。在施法过程中你的<span class=\"highlight\">子弹抗性</span>会提高。"
		"citadel_ability_storm_cloud_t1_desc"		"在施放雷霆风暴时，获得 <span class=\"highlight\">+{s:BulletResistOnActive}% 子弹抗性</span>"
		"citadel_ability_storm_cloud_t2_desc"		"<span class=\"highlight\">+{s:AbilityChannelTime}s</span> 施法时间和 <span class=\"highlight\">+{s:Radius}m</span> 半径"
		"citadel_ability_storm_cloud_t3_desc"		"+{s:DPS} DPS"

		//"ExpandTime_label"					"Expand time"
		"ExpandTime_postfix"					"s"

		//-----------------------------------------------------------------------------
		// Hero Cadence
		//-----------------------------------------------------------------------------
		//"citadel_weapon_hero_cadence_set"		"Arioso Annihilator"
		//"citadel_weapon_hero_cadence_set_desc"	"Shoots bursts of 4 bullets that embed a crystal shard in the target. After 1 second, the shards shatter and deal the bullet damage again. Shatter damage is doubled if 5 or more shards are embedded."

		//"cadence_ability_anthem"						"Anthem"
		//"cadence_ability_anthem_quip"					"Lead the charge, inspiring allies in earshot and giving them weapon buffs"
		//"cadence_ability_anthem_desc"				"Burst into an inspiring song! You and any ally that comes within range get an instant reload with an extra large clip, and have a Fire Rate bonus that increases until the song ends."

		//"modifier_cadence_anthem_buff"				"Cadence Anthem"
		//"modifier_cadence_anthem_aoe"					"Singing Anthem"
		//"ExtraLargeClip_label"						"Clip Bonus"
		"ExtraLargeClip_postfix"						"%"
		//"PeakFireRateBonus_label"						"Peak Fire Rate Bonus"
		"PeakFireRateBonus_postfix"					"%"


		//"cadence_ability_lullaby"					"Lullaby"
		//"cadence_ability_lullaby_quip"			"Lull any foe you come within earshot of to sleep."
		//"cadence_ability_lullaby_desc"			"Lull your foes to sleep! Any enemy that comes in range of Cadence sleeps until woken by damage, Cadence goes out of range, or the song ends. Cadence has bonus regeneration while singing."
		//"modifier_cadence_sleeping"				"Sleeping"
		//"modifier_cadence_sleep_aoe"				"Singing a Lullaby"
		//"LingerDuration_label"					"Linger Duration"
		"LingerDuration_postfix"					"s"
		"DashDistance_label"						"冲刺距离"
		"DashDistance_postfix"					"m"

		//"cadence_ability_silencecontraptions"			"Silence Contraptions"
		//"cadence_ability_silencecontraptions_quip"	"Start a melee brawl. No guns allowed."
		//"cadence_ability_silencecontraptions_desc"	"Disarm yourself perform a long-range dash melee attack. For the duration of the song, you remain disarmed and your melee abilities apply a debuff that disarms and EMP's enemy targets."

		//"citadel_ability_silencecontraptions_t3_desc"		"Melee also EMP's enemies"
		//"BonusStamina_label"							"Bonus Stamina"
		//"MeleeEMP_label"							"Enemies Silenced"
		//"modifier_cadence_silence_contraptions_debuff"	"Silence Contraptions"
		//"modifier_cadence_silence_contraptions"			"Silence Contraptions"


		//"cadence_ability_grandfinale"				"Grand Finale"
		//"cadence_ability_grandfinale_quip"		"Build a stage, then fight from it with weapon buffs."
		//"cadence_ability_grandfinale_desc"		"Build high ground undernearth Cadence. Allies fighting from the high ground get a fire rate bonus and explosive bullets."
		//"ExplodeRadius_label"						"Explosion Radius"
		"ExplodeRadius_postfix"					"m"
		"StageDuration_label"						"持续时间"
		"StageDuration_postfix"					"s"
		//"modifier_cadence_grandfinale_buff"		"Grand Finale"

		//"cadence_ability_crescendo"				"Crescendo"
