"lang"
{
	"Language"		"polish"
	"Tokens"
	{
		// Item formatting
		"ItemNameUniqueFormat"						"%s2%s3"			// will turn into "The Battalion's Backup #1"; foreign languages that have gender/declension can change this to be "Shotgun #1" or whatever
		"ItemNameWithQualityFormat"					"%s2%s3 (%s1)"		// will turn into "Strange Shotgun #1"; foreign languages that have gender for adjectives can change this to be "Shotgun #1 (Strange)" or whatever
		"ItemNameCraftNumberFormat"					" nr %s1"
		"ItemTypeDesc"								"%s2 poziomu %s1"			// s1 is the level number, s2 is the item type. Example: "Level 4 Medigun"
		"ItemTypeDescNoLevel"						"Poziom %s1"				// s1 is the level number. Example: "Level 12"
		"ItemTypeDescKillEater"						"%s2: %s1"				// s1 is the rarity, s2 is the item type
		"ItemTypeDescKillEaterAlt"					"%s2: %s1"				// "Kills: 123"
		"RarityTypeDesc"							"%s2 – %s1 przedmiot"				// s1 is the rarity, s2 is the item type
		"Econ_Store_PurchaseType_Standard"			"%s1"

		//Market description attributes
		"AttribFormat_AdditionalNote"				"( %s1 )"

		//asset tag categories
		"Tag_Category_Rarity"						"Rzadkość"
		"Tag_Category_ItemType"						"Rodzaj przedmiotu"
		"Tag_Category_CardColor"					"Kolor karty"
		"Tag_Category_CardType"						"Rodzaj karty"
		"Tag_Category_CardSet"						"Zestaw kart"
		"Tag_Category_ManaCost"						"Koszt many"
		"Tag_Category_GoldCost"						"Koszt złota"
		"Tag_Category_Accessory"					"Akcesorium"

		// Rarity Names
		"Rarity_Common"								"Pospolity"
		"Rarity_Uncommon"							"Niepospolity"
		"Rarity_Rare"								"Rzadki"

		// Localization for item history reporting from the GC
		"ItemHistory_ActionWithTime"									"%s1 dnia %s2"
		"ItemHistory_Action_GenericAdd"									"Dodano"
		"ItemHistory_Action_GenericRemove"								"Usunięto lub zmodyfikowano"
		"ItemHistory_Action_Traded"										"Wymieniono"
		"ItemHistory_Action_Delete"										"Usunięto przez ciebie"
		"ItemHistory_Action_Banned"										"Zablokowano"
		"ItemHistory_Action_CraftDestroy"								"Użyto podczas wytwarzania"
		"ItemHistory_Action_LimitExceeded"								"Zniszczono przez limit plecaka"
		"ItemHistory_Action_SupportDelete"								"Zostało usunięte przez Pomoc techniczną Steam"
		"ItemHistory_Action_SupportDeletedByUndo"						"Zostało usunięte przez Pomoc techniczną Steam"
		"ItemHistory_Action_NameChanged_Remove"							"Zmieniono nazwę"
		"ItemHistory_Action_UnlockCrate_Remove"							"Użyto do otwarcia skarbu"
		"ItemHistory_Action_PaintItem_Remove"							"Pomalowano przedmiot"
		"ItemHistory_Action_AddItemToSocket_Remove"						"Usunięto z gniazda"
		"ItemHistory_Action_AddSocketToItem_Remove"						"Usunięto przez gniazdo"
		"ItemHistory_Action_RemoveSocketItem_Remove"					"Usunięto przedmiot z gniazda"
		"ItemHistory_Action_CustomizeItemTexture_Remove"				"Zmieniono teksturę"
		"ItemHistory_Action_ItemTraded_Remove"							"Wymieniono"
		"ItemHistory_Action_UseItem"									"Użyto"
		"ItemHistory_Action_SupportRename_Remove"						"Zostało przemianowane przez Pomoc techniczną Steam"
		"ItemHistory_Action_SupportDescribe_Remove"						"Zmieniono opis przez Pomoc techniczną Steam"
		"ItemHistory_Action_SupportStrangify_Remove"					"Pomoc techniczna Steam zmieniła na jakość kuriozum"
		"ItemHistory_Action_UnpackItemBundle"							"Odpakowano"
		"ItemHistory_Action_Unpurchase"									"Zwrócono"
		"ItemHistory_Action_AwardGift_Giver"							"Wysłano prezent"
		"ItemHistory_Action_RemoveItemName_Remove"						"Usunięto niestandardową nazwę"
		"ItemHistory_Action_RemoveItemPaint_Remove"						"Usunięto farbę"
		"ItemHistory_Action_GiftWrap_Remove"							"Zapakowano w prezent"
		"ItemHistory_Action_GiftDelivery_Remove"						"Wysłano prezent"
		"ItemHistory_Action_GiftDelivery_Remove_WithPartner"			"Wysłano prezent do użytkownika %partner%"
		"ItemHistory_Action_GiftUnwrap_Remove"							"Rozpakowano"
		"ItemHistory_Action_PackageItem_Revoked"						"Unieważniono"
		"ItemHistory_Action_CafeOrSchoolItem_Remove"					"Usunięto przez szkołę lub kafejkę"
		"ItemHistory_Action_VACBanned_Remove"							"Usunięto przez blokadę VAC"
		"ItemHistory_Action_UpgradeThirdPartyPromo"						"Ulepszono przez promocję strony trzeciej"
		"ItemHistory_Action_Expired"									"Wygasło"
		"ItemHistory_Action_RemoveItemCraftIndex_Remove"				"Usunięto przez usunięcie indeksu wytwarzania"
		"ItemHistory_Action_RemoveItemMakersMark_Remove"				"Usunięto imię wytwarzającego"
		"ItemHistory_Action_RemoveItemKillStreak_Remove"				"Usunięto przez usunięcie serii zabójstw"
		"ItemHistory_Action_TradeRollback_Remove"						"Wymiana została cofnięta"
		"ItemHistory_Action_CDKeyRevoke"								"Unieważniono klucz"
		"ItemHistory_Action_WeddingRing_Remove"							"Użyto przy wręczaniu pierścionka ślubnego"
		"ItemHistory_Action_CollectItem_RemoveCollection"				"Usunięto stary przedmiot z kolekcji"
		"ItemHistory_Action_CollectItem_CollectedItem"					"Dodano do kolekcji"
		"ItemHistory_Action_EconSetUnowned"								"Wymieniono"
		"ItemHistory_Action_StrangePartApply_Remove"					"Usunięto przy użyciu kuriozalnego modyfikatora"
		"ItemHistory_Action_PennantUpgradeApply_Remove"					"Użyto do ulepszenia proporca"
		"ItemHistory_Action_AutographRemove"							"Użyto do podpisania autografu"
		"ItemHistory_Action_ConsumeItem_Consume_ToolRemove"				"Użyto jako część schematu"
		"ItemHistory_Action_ConsumeItem_Consume_InputRemove"			"Użyto jako część schematu"
		"ItemHistory_Action_ConsumeItem_Complete_ToolRemove"			"Użyto do ukończenia schematu"
		"ItemHistory_Action_UnlockStyle_Remove"							"Odblokowano styl"
		"ItemHistory_Action_Purgatory_ExpiredAndAutoFinalized_Remove"	"Sfinalizowano zakup"
		"ItemHistory_Action_Purgatory_Finalize_Remove"					"Sfinalizowano zakup"
		"ItemHistory_Action_Purgatory_Refund"							"Zwrócono"
		"ItemHistory_Action_AddSocket_Remove"							"Dodano gniazdo"
		"ItemHistory_Action_ExtractGem_Remove"							"Wydobyto klejnot"
		"ItemHistory_Action_NewYearsOffering"							"Przetworzono"
		"ItemHistory_Action_ItemRedemption_Remove"						"Odebrano"
		"ItemHistory_Action_ItemGiftMessageRefurbish_Remove"			"Usunięto dedykację prezentu"
		"ItemHistory_Action_ItemGifterAccountIdRefurbish_Remove"		"Usunięto informację o darczyńcy"
		"ItemHistory_Action_Market_Remove"								"Wystawiono na Rynku Społeczności Steam"
		"ItemHistory_Action_MarketBuyback_Remove"						"Usunięto przez wykup z Rynku Społeczności"
		"ItemHistory_Action_ManualItemConvertOperation_OldItem"			"Przekonwertowano"
		"ItemHistory_Action_ItemConsume"								"Wykorzystano"
		"ItemHistory_Action_FantasyTicketConsume"						"Użyto"
		"ItemHistory_Action_WeekendTourneyTicket_Consume"				"Użyto"
		"ItemHistory_Action_PlayerCardDust"								"Połączono w jeden przedmiot"
		"ItemHistory_Action_GSCreate"									"Zostało przyznane przez serwer gry, na którym grano"
		"ItemHistory_Action_AwardAchievement"							"Zdobyto za odblokowanie osiągnięcia"
		"ItemHistory_Action_QuantityChanged"							"Użyto"
		"ItemHistory_Action_AwardTime"									"Znaleziono"
		"ItemHistory_Action_ManualCreate"								"Zostało stworzone przez Pomoc techniczną Steam"
		"ItemHistory_Action_Drop"										"Znaleziono"
		"ItemHistory_Action_Purchase"									"Zakupiono w sklepie"
		"ItemHistory_Action_AutoGrantItem"								"Zdobyto"
		"ItemHistory_Action_CrossGameAchievement"						"Zdobyto za odblokowanie osiągnięcia w innej grze"
		"ItemHistory_Action_AwardGift_Receiver"							"Otrzymano jako prezent"
		"ItemHistory_Action_AwardStorePromotionItem"					"Zakupiono w sklepie"
		"ItemHistory_Action_EarnedItem"									"Zdobyto"
		"ItemHistory_Action_AwardThirdPartyPromo"						"Zdobyto przedmiot promocyjny"
		"ItemHistory_Action_SteamWorkshopContributor"					"Zdobyto za bycie współtwórcą w Warsztacie Steam"
		"ItemHistory_Action_GiftDelivery_Add"							"Otrzymano prezent"
		"ItemHistory_Action_GiftDelivery_Add_WithPartner"				"Otrzymano prezent od użytkownika %partner%"
		"ItemHistory_Action_PackageItem"								"Zdobyto przedmiot promocyjny"
		"ItemHistory_Action_CDKeyGrant"									"Zdobyto za wprowadzenie klucza produktu"
		"ItemHistory_Action_AwardXP"									"Nagroda za zwiększenie poziomu"
		"ItemHistory_Action_UnpackItems"								"Rozpakowano z zestawu"
		"ItemHistory_Action_TutorialDrop"								"Nagroda za ukończenie samouczka"
		"ItemHistory_Action_FantasyTicketRefund"						"Zwrócono"
