"lang"
{
	"Language"		"brazilian"
	"Tokens"
	{

		//-----------------------------------------------------------------------------
		// Unit states (that we want to show)
		//-----------------------------------------------------------------------------

		"MODIFIER_STATE_ROOTED"								"Imobilizado"
		"MODIFIER_STATE_DISARMED"							"Desarmado"
		"MODIFIER_STATE_SILENCED"							"Silenciado"
		"MODIFIER_STATE_STUNNED"							"Atordoado"
		"MODIFIER_STATE_INVULNERABLE"						"Invulnerável"
		"MODIFIER_STATE_TECH_INVULNERABLE"					"Invulnerável espiritualmente"
		"MODIFIER_STATE_BURNING"							"Em chamas"

		// Commenting this out so it doesn't show overhead of the player your applied it to
		//"MODIFIER_STATE_SLOWED"								"Slowed"

		"MODIFIER_STATE_BULLET_SHIELD_WEAKENED"				"Escudo balístico enfraquecido"
		"MODIFIER_STATE_IS_ASLEEP"							"Adormecido"
		"MODIFIER_STATE_BULLET_DAMAGE_TAKEN_ALWAYS_CRITS"	"Vulnerável a críticos"		 				
		"MODIFIER_STATE_CHAINED"							"Acorrentado"
		"MODIFIER_STATE_ALL_ARMOR_DISABLED"					"Armaduras desativadas"
		"MODIFIER_STATE_BULLET_INVULNERABLE"				"À prova de balas"
		"MODIFIER_STATE_BLINDED"							"Cegado"

		// Status Effects
		"Citadel_StatusEffect"					"alvos afetados"
		"Citadel_StatusEffectStun"				"Atordoa"
		"Citadel_StatusEffectEMP"				"Silencia"
		"Citadel_StatusEffectFreeze"			"Congela"
		"Citadel_StatusEffectBurn"				"Incendeia"
		"Citadel_StatusEffectBleed"				"Sangra"
		"Citadel_StatusEffectSleep"				"Adormece"
		"Citadel_StatusEffectTethered"			"Conecta"
		"Citadel_StatusEffectImmobilize" 		"Imobiliza"
		"Citadel_StatusEffectDisarmed"			"Desarma"
		"Citadel_StatusEffectInvisible"			"Torna invisível"
		"Citadel_StatusEffectStacks"			"Acúmulos "
		"Citadel_StatusEffectInfiniteClip"		"Munição infinita"
		"modifier_citadel_in_shop"				"Na loja"	
		"modifier_citadel_pre_match_wait"		"Aguardando o início da partida"
		"modifier_slowaura" 					"Desaceleração"
		"modifier_citadel_slowtarget" 			"Desaceleração"
		"modifier_citadel_lineslow"				"Desaceleração"
		"modifier_slow_base"																		"Desaceleração"
		"modifier_citadel_stunned" 				"Atordoado"
		"modifier_citadel_knockdown"			"Atordoado"
		"modifier_citadel_delayed_stun"			"Atordoamento iminente"
		"modifier_citadel_banished"				"Exilado"
		"modifier_citadel_speed_boost" 			"Acelerar"
		"modifier_healaura" 					"Sendo curado"
		"modifier_citadel_charging" 			"Investindo"
		"modifier_citadel_silenced"				"Silenciado"
		"modifier_citadel_muted"				"Calado"
		"modifier_citadel_disarmed"				"Desarmado"
		"modifier_item_disarmed"				"Desarmado"
		"modifier_citadel_disarm_proc"			"Desarmado"
		//-----------------------------------------------------------------------------
		// END Unit states
		//-----------------------------------------------------------------------------


		//-----------------------------------------------------------------------------
		// Ability Property Text
		//-----------------------------------------------------------------------------
		"Citadel_AbilityProperty_OnHit"			"Se atingir:"
		"Citadel_AbilityProperty_OnAttach"	"Ao grudar:"


		//-----------------------------------------------------------------------------
		// Stat desc - These are the labels in the hero stats for each EStatType
		//-----------------------------------------------------------------------------

		"StatDesc_DPS"									"Dano por segundo"
		"StatDesc_MeleeDamage"							"Dano de golpes"
		"StatDesc_LightMeleeDamage"						"Golpe leve"
		"StatDesc_HeavyMeleeDamage"						"Golpe pesado"
		"StatDesc_MaxHealth"							"Vida máxima"
		"StatDesc_ClipSizeBonus"						"Munição"
		"StatDesc_ClipSizeIncrease"						"Aumento do tamanho do cartucho"
		"StatDesc_ClipSizeIncrease_postfix"				"%"
		"StatDesc_BonusClips"							"Cartuchos"
		"StatDesc_AmmoRegen"							"Regeneração de munição"
		"StatDesc_HealthRegen"							"Regeneração de vida"
		"StatDesc_BaseHealthRegen"						"Regeneração de vida"
		"StatDesc_ExternalHealthRegen"					"Regeneração externa de vida"
		"StatDesc_RunSpeed"								"Velocidade de movimento"
		"StatDesc_RunSpeed_postfix"						" m/s"
		"StatDesc_SprintSpeed"							"Velocidade de corrida"
		"StatDesc_SprintSpeed_postfix"					" m/s"
		"StatDesc_RunAcceleration"						"Aceleração de movimento"
		"StatDesc_SprintAcceleration"					"Aceleração de corrida"
		"StatDesc_IncomingDamageReduction"				"Armadura"
		"StatDesc_IncomingDamageScale"					"Escala de dano sofrido"
		"StatDesc_BulletArmor"							"Armadura"
		"StatDesc_BulletArmorDamageReduction"			"Resist. balística"
		"StatDesc_BulletArmorDamageReduction_postfix"	"%"
		"StatDesc_IncomingBulletDamageReduction"		"Armadura balística"
		"StatDesc_IncomingBulletDamageScale"			"Escala de dano balístico"
		"StatDesc_IncomingMeleeDamageReduction"			"Armadura contra golpes"
		"StatDesc_IncomingMeleeDamageScale"				"Escala de dano de golpes"
		"StatDesc_TechArmor"							"Armadura espiritual"				
		"StatDesc_TechArmorDamageReduction"		 		"Resist. espiritual"
		"StatDesc_TechArmorDamageReduction_postfix"		"%"
		"StatDesc_IncomingAbilityDamageReduction"		"Armadura contra habilidades"
		"StatDesc_TechPower"							"Poder espiritual"
		"StatDesc_ManaPerLevel"							"Energia por nível"
		"StatDesc_HealthPerLevel"						"Vida por nível"
		"StatDesc_ManaRegenPerLevel"					"Regeneração de energia por nível"
		"StatDesc_HealthRegenPerLevel"					"Regeneração de vida por nível"
		"StatDesc_WeaponDPSPerLevel"					"Dano balístico por segundo por nível"
		"StatDesc_SuperSprintSpeed"						"Velocidade de supercorrida"
		"StatDesc_WeaponRange"							"Alcance"
		"StatDesc_WeaponRecoilReduction"				"Redução de recuo"
		"StatDesc_FireRate"								"Taxa de disparo"
		"StatDesc_FireRate_postfix"						"%"
		"StatDesc_Toughness"							"Resistência"
		"StatDesc_Technology"							"Tecnologia"
		"StatDesc_Weaponry"								"Armamento"
		"StatDesc_WeaponPower"							"Dano balístico"
		"StatDesc_BulletDamage"							"Dano balístico"
		"StatDesc_TechPowerAmp"							"Espírito"
		"StatDesc_EnergyMax"							"Células de energia"
		"StatDesc_EnergyRegenTime"						"Tempo de regeneração de energia"
		"StatDesc_RoundsPerSecond"						"Balas por segundo"
		"StatDesc_BulletDamagePerLevel"					"Dano balístico por nível"
		"StatDesc_WeaponPowerAmp"						"Amplificação de dano balístico"
		"StatDesc_AirJumps"								"Pulos aéreos"
		"StatDesc_ZipLineSpeed"							"Velocidade na tirolesa"
		"StatDesc_ProcModifier"							"Modificador de chance"
		"StatDesc_TechCooldown"							"Recarga da habilidade"
		"StatDesc_TechCooldown_postfix"					"%"
		"StatDesc_TechCooldownBetweenCharges"			"Tempo entre cargas"
		"StatDesc_TechCooldownBetweenCharges_postfix"	"%"
		"StatDesc_TechRange"							"Alcance das habilidades"
		"StatDesc_TechRange_postfix"					"%"
		"StatDesc_MaxChargesIncrease"					"Aumento de cargas"
		"StatDesc_RechargeRate"							"Taxa de recarga"
		"StatDesc_TechDuration"							"Duração da habilidade"
		"StatDesc_TechDuration_postfix"					"%"
		"StatDesc_WeaponPowerAttribute"					"Dano balístico"
		"StatDesc_ArmorAttribute"						"Armadura"
		"StatDesc_HealthAttribute"						"Vida"
		"StatDesc_TechDamageAttribute"					"Dano espiritual"
		"StatDesc_FireRateAttribute"					"Taxa de disparo"
		"StatDesc_ReloadTime"							"Tempo de recarregamento"
		"StatDesc_ReloadTime_postfix"					"s"
		"StatDesc_Stamina"								"Vigor"
		"StatDesc_StaminaRegenPerSecond"				"Recuperação de vigor"
		"StatDesc_StaminaRegenPerSecond_postfix"		"%"
		"StatDesc_BaseWeaponDamage"						"Dano balístico"
		"StatDesc_BaseWeaponDamage_postfix"				"%"
		"StatDesc_TechDamageScale"						"Dano espiritual"
		"StatDesc_TechShieldHealth"						"Escudo espiritual"
		"StatDesc_BulletShieldHealth"					"Escudo balístico"
		"StatDesc_ReloadSpeed_prefix"					"{s:sign}"
		"StatDesc_ReloadSpeed"							"Redução de recarregamento"
		"StatDesc_ReloadSpeed_postfix"					"%"
		"StatDesc_CritDamageReceivedScale"				"Redução de críticos"
		"StatDesc_CritDamageReceivedScale_postfix"		"%"
		"StatDesc_StaminaCooldown"						"Recarga de vigor"
		"StatDesc_StaminaCooldown_postfix"				"s"
		"StatDesc_StaminaRegenIncrease_prefix"			"+"
		"StatDesc_StaminaRegenIncrease"					"Recuperação de vigor"
		"StatDesc_StaminaRegenIncrease_postfix"			"%"
		"StatDesc_DebuffResist"							"Resist. a efeitos neg."
		"StatDesc_DebuffResist_postfix"					"%"
		"StatDesc_HealingOutput"						"Amp. de cura"
		"StatDesc_HealingOutput_postfix"				"%"

		"StatDesc_BulletSpeed"							"Velocidade das balas"
