"lang"
{
	"Language"		"koreana"
	"Tokens"
	{

		//-----------------------------------------------------------------------------
		// Unit states (that we want to show)
		//-----------------------------------------------------------------------------

		"MODIFIER_STATE_ROOTED"								"이동 불가"
		"MODIFIER_STATE_DISARMED"							"무장 해제"
		"MODIFIER_STATE_SILENCED"							"침묵"
		"MODIFIER_STATE_STUNNED"							"기절"
		"MODIFIER_STATE_INVULNERABLE"						"무적"
		"MODIFIER_STATE_TECH_INVULNERABLE"					"마력 피해 무적"
		"MODIFIER_STATE_BURNING"							"화상"

		// Commenting this out so it doesn't show overhead of the player your applied it to
		//"MODIFIER_STATE_SLOWED"								"Slowed"

		"MODIFIER_STATE_BULLET_SHIELD_WEAKENED"				"총탄 보호막 약화"
		"MODIFIER_STATE_IS_ASLEEP"							"수면"
		"MODIFIER_STATE_BULLET_DAMAGE_TAKEN_ALWAYS_CRITS"	"치명타 취약"		 				
		"MODIFIER_STATE_CHAINED"							"속박"
		"MODIFIER_STATE_ALL_ARMOR_DISABLED"					"방어 무력화"
		"MODIFIER_STATE_BULLET_INVULNERABLE"				"방탄"
		"MODIFIER_STATE_DRONE_ATTACHED"						"드론 부착"
		"MODIFIER_STATE_WEAPON_JAMMED"						"무기 사용 불가"
		"MODIFIER_STATE_TOXIC_BULLETS"						"독성"
		"MODIFIER_STATE_DISPLAY_LIFETIME"					"생명 시간"
		"MODIFIER_STATE_BLINDED"							"실명"

		// Status Effects
		"Citadel_StatusEffect"					"상태 효과"
		"Citadel_StatusEffectStun"				"기절"
		"Citadel_StatusEffectEMP"				"침묵"
		"Citadel_StatusEffectFreeze"			"동상"
		"Citadel_StatusEffectBurn"				"화상"
		"Citadel_StatusEffectBleed"				"출혈"
		"Citadel_StatusEffectSleep"				"수면"
		"Citadel_StatusEffectTethered"			"연결"
		"Citadel_StatusEffectImmobilize" 		"이동 불가"
		"Citadel_StatusEffectDisarmed"			"무장 해제"
		"Citadel_StatusEffectInvisible"			"투명"
		"Citadel_StatusEffectStacks"			"중첩 "
		"Citadel_StatusEffectInfiniteClip"		"무한 탄약"
		"Citadel_StatusEffectBulletDebuff"		"총탄 약화"
		"Citadel_StatusEffectBuff"				"강화"

		"modifier_citadel_in_shop"				"상점 내"	
//-----------------------------------------------------------------------------
		// Stat desc - These are the labels in the hero stats for each EStatType
		//-----------------------------------------------------------------------------

		"StatDesc_DPS"									"초당 피해"
		"StatDesc_MeleeDamage"							"근거리 피해"
		"StatDesc_LightMeleeDamage"						"약한 근거리 공격"
		"StatDesc_HeavyMeleeDamage"						"강한 근거리 공격"
		"StatDesc_MaxHealth"							"최대 체력"
		"StatDesc_ClipSizeBonus"						"탄약"
		"StatDesc_ClipSizeIncrease"						"탄창 크기 증가"
		"StatDesc_ClipSizeIncrease_postfix"				"%"
		"StatDesc_BonusClips"							"탄창"
		"StatDesc_AmmoRegen"							"탄약 재생"
		"StatDesc_HealthRegen"							"체력 재생"
		"StatDesc_BaseHealthRegen"						"체력 재생"
		"StatDesc_ExternalHealthRegen"					"외부 체력 재생"
		"StatDesc_RunSpeed"								"이동 속도"
		"StatDesc_RunSpeed_postfix"						"m(초당)"
		"StatDesc_SprintSpeed"							"질주 속도"
		"StatDesc_SprintSpeed_postfix"					"m(초당)"
		"StatDesc_RunAcceleration"						"이동 가속"
		"StatDesc_SprintAcceleration"					"질주 가속"
		"StatDesc_IncomingDamageReduction"				"방어력"
		"StatDesc_IncomingDamageScale"					"입은 피해 정도"
		"StatDesc_BulletArmor"							"방어력"
		"StatDesc_BulletArmorDamageReduction"			"총알 저항"
		"StatDesc_BulletArmorDamageReduction_postfix"	"%"
		"StatDesc_IncomingBulletDamageReduction"		"총탄 피해 방어"
		"StatDesc_IncomingBulletDamageScale"			"총탄 피해 정도"
		"StatDesc_IncomingMeleeDamageReduction"			"근거리 피해 방어"
		"StatDesc_IncomingMeleeDamageScale"				"근거리 피해 정도"
		"StatDesc_TechArmor"							"영혼 방어"				
		"StatDesc_TechArmorDamageReduction"		 		"영혼 저항"
		"StatDesc_TechArmorDamageReduction_postfix"		"%"
		"StatDesc_IncomingAbilityDamageReduction"		"능력 방어"
		"StatDesc_IncomingAbilityDamageScale"			"능력 피해 정도"
		"StatDesc_TechPower"							"영혼 파워"
		"StatDesc_ManaPerLevel"							"레벨당 에너지"
		"StatDesc_HealthPerLevel"						"레벨당 체력"
		"StatDesc_ManaRegenPerLevel"					"레벨당 에너지 재생"
		"StatDesc_HealthRegenPerLevel"					"레벨당 체력 재생"
		"StatDesc_WeaponDPSPerLevel"					"레벨당 무기 초당 피해량"
		"StatDesc_SuperSprintSpeed"						"슈퍼 질주 속도"
		"StatDesc_WeaponRange"							"범위"
		"StatDesc_WeaponRecoilReduction"				"반동 감소"
		"StatDesc_FireRate"								"연사 속도"
		"StatDesc_FireRate_postfix"						"%"
		"StatDesc_Toughness"							"내구력"
		"StatDesc_Technology"							"기술"
		"StatDesc_Weaponry"								"무기"
		"StatDesc_WeaponPower"							"무기 피해"
		"StatDesc_BulletDamage"							"총탄 피해"
		"StatDesc_TechPowerAmp"							"영혼"
		"StatDesc_EnergyMax"							"에너지 셀"
		"StatDesc_EnergyRegenTime"						"에너지 재생 시간"
		"StatDesc_RoundsPerSecond"						"초당 발사 총탄"
		"StatDesc_BulletDamagePerLevel"					"레벨당 총탄 피해"
		"StatDesc_WeaponPowerAmp"						"총알 피해 증폭"
		"StatDesc_AirJumps"								"공중 점프"
		"StatDesc_ZipLineSpeed"							"하이퍼라인 속도"
		"StatDesc_ProcModifier"							"발동 변수"
		"StatDesc_TechCooldown"							"능력 쿨다운"
		"StatDesc_TechCooldown_postfix"					"%"
		"StatDesc_TechCooldownBetweenCharges"			"충전 쿨다운"
		"StatDesc_TechCooldownBetweenCharges_postfix"	"%"
		"StatDesc_TechRange"							"능력 범위"
		"StatDesc_TechRange_postfix"					"%"
		"StatDesc_MaxChargesIncrease"					"최대 충전 증가"
		"StatDesc_RechargeRate"							"재충전 속도"
		"StatDesc_TechDuration"							"능력 지속 시간"
		"StatDesc_TechDuration_postfix"					"%"
		"StatDesc_WeaponPowerAttribute"					"무기 피해"
		"StatDesc_ArmorAttribute"						"방어"
		"StatDesc_HealthAttribute"						"체력"
		"StatDesc_TechDamageAttribute"					"영혼 피해"
		"StatDesc_FireRateAttribute"					"연사 속도"
		"StatDesc_ReloadTime"							"재장전 시간"
		"StatDesc_ReloadTime_postfix"					"초"
		"StatDesc_Stamina"								"스태미나"
		"StatDesc_StaminaRegenPerSecond"				"스태미나 회복"
		"StatDesc_StaminaRegenPerSecond_postfix"		"%"
		"StatDesc_BaseWeaponDamage"						"무기 공격 피해"
		"StatDesc_BaseWeaponDamage_postfix"				"%"
		"StatDesc_TechDamageScale"						"영혼 피해"
		"StatDesc_TechShieldHealth"						"영혼 방패"
		"StatDesc_BulletShieldHealth"					"총알 방패"
		"StatDesc_ReloadSpeed_prefix"					"{s:sign}"
		"StatDesc_ReloadSpeed"							"재장전 감소"
		"StatDesc_ReloadSpeed_postfix"					"%"
		"StatDesc_CritDamageReceivedScale"				"치명타 감소"
		"StatDesc_CritDamageReceivedScale_postfix"		"%"
		"StatDesc_StaminaCooldown"						"스태미나 쿨다운"
		"StatDesc_StaminaCooldown_postfix"				"초"
		"StatDesc_StaminaRegenIncrease_prefix"			"+"
		"StatDesc_StaminaRegenIncrease"					"스태미나 회복"
		"StatDesc_StaminaRegenIncrease_postfix"			"%"
		"StatDesc_DebuffResist"							"약화 저항"
		"StatDesc_DebuffResist_postfix"					"%"
		"StatDesc_HealingOutput"						"치유 증폭"
		"StatDesc_HealingOutput_postfix"				"%"

		"StatDesc_BulletSpeed"							"총탄 속도"
		"StatDesc_BulletSpeed_postfix"					"m(초당)"
		"StatDesc_BulletSpeedIncrease"					"총탄 속도 증가"
		"StatDesc_BulletSpeedIncrease_postfix"			"%"
		
		"StatDesc_WeaponRangeFalloffMin_postfix"		"m"
		"StatDesc_WeaponRangeFalloffMax_postfix"		"m"

		"StatDesc_AttackPower"							"공격 파워"
		"StatDesc_AbilityPower"							"능력 파워"
		"StatDesc_DefensePower"							"방어 파워"

		"StatDesc_TechLifesteal_prefix"					"{s:sign}"
		"StatDesc_TechLifesteal"						"마법 체력 흡수"
		"StatDesc_TechLifesteal_postfix"				"%"

		"StatDesc_TechLifestealNonHero_prefix"			"{s:sign}"
		"StatDesc_TechLifestealNonHero"					"비영웅 대상 마법 체력 흡수"

		"StatDesc_BulletLifesteal_prefix"					"{s:sign}"
		"StatDesc_BulletLifesteal"						"총탄 체력 흡수"
		"StatDesc_BulletLifesteal_postfix"				"%"

		//-----------------------------------------------------------------------------
