"lang"
{
	"Language"		"german"
	"Tokens"
	{

		//-----------------------------------------------------------------------------
		// Upgrades: Weapon
		//-----------------------------------------------------------------------------

		//Basic Magazine
		//"upgrade_clip_size_desc"			"Increases <span class=\"highlight\">ammo</span>."

		//Extended Magazine
		//"upgrade_clip_size_fixed_desc"		"Increases <span class=\"highlight\">ammo</span>."

		//Extra Large Magazine
		//"upgrade_clip_size_fixed_t3_desc"		"Greatly Increases <span class=\"highlight\">ammo</span>."

		//Big Clip
		//"upgrade_clip_size_2_desc"			"Big Increase <span class=\"highlight\">ammo</span>."

		//Extra Large Magazine
		//"upgrade_clip_size_3_desc"			"Greatly Increases <span class=\"highlight\">ammo</span>."

		//Ammo Scavenger
		"upgrade_ammo_scavenger_desc"		"Immer wenn Du eine Seelenessenz einfängst oder denyst, erhältst Du <span class=\"highlight\">Kugeln</span> zurück und profitierst von sich aufsummierender <span class=\"highlight\">Magiekraft</span>."
		"AmmoPerSoul_label"					"Kugeln pro Seelenessenz"
		"SpiritPowerPerSoul_label"			"Magiekraft pro Seelenessenz"
		"AmmoScavengerDuration_label"		"Dauer"
		"AmmoScavengerDuration_postfix"		" s"
//Galvanic Storm
		//"upgrade_galvanic_storm_passive1"	"Your bullets have a chance to <span class=\"highlight\">shock</span> your target.  The shock will jump to a nearby enemy."
		//"upgrade_galvanic_storm_passive2"	"When your spirit barrier is destroyed, you are empowered, granting <span class=\"highlight\">{s:BuffDamageMult}x shock damage</span> and increased <span class=\"highlight\">movement speed</span>"
		//"BuffDamageMult_label"							"Shock Multiplier"
		//"BuffDamageMult_postfix"							"x"
		"GalvanicBuffDuration_label"						"Dauer"
		"GalvanicBuffDuration_postfix"					" s"
//EMP Bullets
		//"upgrade_proc_silence_desc"		"Your bullets charge up an <span class=\"highlight\">EMP</span> on enemy heroes that will <span class=\"highlight\">prevent targets from using abilities</span>. Victims are immune to emp bullets for <span class=\"highlight\">{s:ImmunityDuration}s</span> after application expires."
		//"upgrade_proc_silence/modifier_citadel_silence_proc_watcher/modifier_citadel_base_buildup"	"Silence Building..."

		//Silencer
		"upgrade_silencer_active"		"Für die nächsten {s:AbilityDuration} s lassen <span class=\"highlight\">alle Deine Kugeln Dein Ziel sofort verstummen</span>. Verstummte Ziele können keine Fähigkeiten einsetzen."
		//"upgrade_silencer_passive1"		"Your bullets deal <span class=\"highlight\">+{s:BonusBulletDamageToEMPTargets}% damage to Silenced targets</span>."
		//"upgrade_silencer_passive2"		"Your bullets build up an <span class=\"highlight\">EMP</span> on enemy heroes, preventing them from using abilities."
		"SilencerSlowPercent_label"		"Bewegungsverlangsamung bei Treffer"
		"SilencerSlowPercent_postfix"	" %"
		"SilencerSlowPercent_prefix"	"+"

		//Magitech Rounds
		//"upgrade_proc_tech_damage_desc"	"Your bullets also deal your <span class=\"highlight\">base bullet damage [{s:BaseDamagePerShot}] </span> as spirit damage.  Magitech Rounds receives <span class=\"highlight\">{s:SpellAmplificationMultiplier}x</span> amplification from <span class=\"highlight\">Spirit Power</span>. Shotguns split the damage between each pellet. This effect can only happen once every {s:ProcCooldown}s."
		
		//Slowing Bullets
		"upgrade_slowing_bullets_desc"	"Deine Kugeln <span class=\"highlight\">verlangsamen das Bewegungstempo</span> Deines Ziels."
"OutgoingDamagePenaltyPercent_postfix"	" %"

		//Armor Piercing Rounds
		//"upgrade_armor_reduction_debuff_desc"	"Your bullets reduce the target's <span class=\"highlight\">bullet resistance by {s:ResistReduction}%</span> of their current value for {s:AbilityDuration}s and deal bonus damage <span class=\"highlight\">against bullet shields</span>."
		//"modifier_armor_breaking_bullets"	"Armor Piercing Rounds"
		
		//Detention Rounds
		//"upgrade_weapon_detention_ammo_desc"	"Your bullets build up on enemies, causing them to be <span class=\"highlight\">tethered</span> to their position."
		//"modifier_upgrade_detention_ammo_detaining"				"Detaining..."
		//"Detained"	"Detained"
		//"detention_immune"		"Detention Immune"
		//"ImmunityDuration_label"		"Immunity Duration"
		"ImmunityDuration_postfix"	" s"

		//Leveler
		//"upgrade_leveler_active_desc"	"Applies a <span class=\"highlight\">tether</span> to the target and reduces the <span class=\"highlight\">bullet resist</span> of both <span class=\"highlight\">you and them</span>."
		//"upgrade_leveler_passive_desc"				"Your headshot deals bonus damage and heavily slows enemy fire rate."
		//"upgrade_leveler_innate_desc"	"Close Range<br>Detention Rounds"

		//Hunter's Aura
		"upgrade_bullet_armor_reduction_aura_desc"		"Reduziert die <span class=\"highlight\">Kugelresistenz</span> und <span class=\"highlight\">Feuerrate</span> von Gegnern in der Nähe. Falls sich nur ein Gegner in der Nähe befindet, wird dieser <span class=\"highlight\">Effekt verdreifacht</span>."
//"BonusBaseDamage_label"			"Base Bullet and Melee Damage"
		"BonusBaseDamage_postfix"		" %"

		//Fire Rate Aura
		//"upgrade_fire_rate_aura_desc"	"Provides a <span class=\"highlight\">Fire Rate</span> increase to you and nearby teammates.  Different bonus to non-Heroes"
		//"upgrade_fire_rate_aura/modifier_fire_rate_aura/modifier_fire_rate_aura_target"		"Fire Rate Aura"

		//Warp Stone
		"upgrade_warp_stone_desc"	"<span class=\"highlight\">Teleportiert</span> Dich in Blickrichtung und gewährt Dir <span class=\"highlight\">Kugelresistenz</span>."
		"WarpStoneRange_postfix"		" m"
		"CasterBuffDuration_postfix"	" s"
		//"CasterSlowPercent_label"		"Self Slow"
		"CasterSlowPercent_postfix"	" %"
"MagicBurstDamage_label"		"Bonusschaden"
"MagicShockDamage_postfix"	" %"
//"OverflowBonusDamage_label"     "Bonus Spirit Damage"
		"OverflowBonusDamage_postfix"	" %"
"RicochetDamagePercent_postfix"					" %"
		"RicochetRadius_postfix"							" m"
//Mystic Shot
		"upgrade_crackshot_desc"	"Deine nächste Kugel fügt zusätzlich <span class=\"highlight\">Magieschaden</span> zu."
		"ProcBonusMagicDamage_prefix"	"{s:sign}"
		//Restorative Shot
		"upgrade_medic_bullets_desc"	"Deine nächste Kugel <span class=\"highlight\">heilt</span> Dich basierend auf dem Einheitentyp, den Du triffst."
//Headhunter
		"upgrade_headhunter_desc"	"Ein Kopfschuss fügt zusätzlichen Schaden zu, heilt Dich um einen Prozentsatz Deiner max. Lebenspunkte und gewährt Dir für kurze Zeit zusätzliches Bewegungstempo."
		"HealPercentPerHeadshot_postfix"	" %"

		//Crippling Headshot
		"upgrade_banshee_slugs_headshots_desc"	"<span class=\"highlight\">Kopfschüsse</span> reduzieren die <span class=\"highlight\">Kugelresistenz</span> und <span class=\"highlight\">Magieresistenz</span> des Ziels."
		"BulletResistReduction_postfix"	" %"
		"MagicResistReduction_postfix"	" %"

		//Berserker
		"upgrade_berserker_desc"		"Dein <span class=\"highlight\">Waffenschaden</span> erhöht sich, wenn Du wiederholt Schaden erleidest."

		//Frenzy
		"upgrade_fervor_passive"	"Du erhältst Boni auf Deine Attribute, wenn Du über <span class=\"highlight\">weniger als {s:LowHealthThreshold} % Deiner Lebenspunkte</span> verfügst."
		"FervorTechResist_postfix"  " %"
"ShreddersTechAmp_postfix"			" %"
		//"upgrade_tech_defense_shredders/modifier_tech_defense_shredders_proc/modifier_base"						"Spirit Armor Reduced"
		//"modifier_tech_defense_shredders"		"Spirit Armor Reduced"

		//Monster Rounds
		//"upgrade_non_player_bonus_desc"		"Gain additional <span class=\"highlight_weapon\">{s:NonPlayerBonusWeaponPower}% Weapon Damage</span> when attacking <span class=\"highlight\">Troopers</span>, <span class=\"highlight\">Neutrals</span> and <span class=\"highlight\">Bosses</span>."

		//Hollow Point Ward
		"upgrade_hollow_point_rounds_desc"				"Du fügst zusätzlichen <span class=\"highlight\">Waffenschaden</span> zu, wenn Du über <span class=\"highlight\">mehr als {s:LifeThreshold} % Deiner Lebenspunkte</span> verfügst."
		//"upgrade_hollow_point_rounds_shield_desc"		"Gain a <span class=\"highlight\">Spirit Shield</span> that blocks incoming <span class=\"highlight\">Spirit Damage</span>. The shield is restored when out of combat."

		// Pristine Emblem
		"upgrade_pristine_emblem_desc"	"Deine Angriffe fügen zusätzlichen <span class=\"highlight\">Waffenschaden</span> gegen <span class=\"highlight\">Gegner</span> zu, wenn diese über <span class=\"highlight\">mehr als {s:EnemyLifeThreshold} % ihrer Lebenspunkte</span> verfügen."
		"BaseAttackDamagePercentBonus_prefix"	"+"
		"BaseAttackDamagePercentBonus_postfix"	" %"

		//Disarming Bullets
		//"upgrade_proc_disarm_desc"		"Your bullets <span class=\"highlight\">disarm</span> enemies, them preventing them from shooting their weapon.  Victims are immune to disarming bullets for <span class=\"highlight\">{s:ImmunityDuration}s</span> after application expires."

		//Glass Cannon
